Calculated pChEMBL,SMILES,old/new
6.15,Cc1ccc2c(Cn3cc(CSC(=S)N4CCN(C(=O)OC(C)(C)C)CC4)nn3)cc(=O)oc2c1,old
5.02,CSCCc1nc(-c2cccc(NC(=N)N)c2)oc1C,old
3.73,CC(=O)c1csc(Nc2ccc(Cl)cc2)n1,old
3.91,CC(=O)c1csc(Nc2cccc(Cl)c2)n1,old
4.57,CC(=O)c1csc(Nc2ccc(Br)cc2)n1,old
4.24,CC(=O)c1csc(Nc2ccc(O)cc2)n1,old
4.07,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1,old
4.35,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)C(F)(F)F,old
4.36,Cc1ccccc1S(=O)(=O)Nc1nc(-c2ccc(Cl)cc2)cs1,old
4.76,Cc1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1,old
4.36,COc1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1,old
4.12,COc1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,old
5.12,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(-c2ccccc2)c1,old
4.8,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(-c2ccccc2)cc1,old
4.4,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1Cl,old
4.99,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Cl)c1,old
4.88,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(Cl)cc1,old
4.74,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccccc1C(F)(F)F,old
5.02,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(C(F)(F)F)c1,old
4.76,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1ccc(C(F)(F)F)cc1,old
4.31,O=[N+]([O-])c1ccccc1S(=O)(=O)Nc1nc(-c2ccc(Cl)cc2)cs1,old
4.69,O=[N+]([O-])c1cccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1,old
4.58,O=[N+]([O-])c1ccc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)cc1,old
4.56,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccs1,old
4.71,O=S(=O)(Nc1nc(-c2ccc(Cl)cc2)cs1)c1cncc(Br)c1,old
4.44,Cn1nccc1-c1cncc(S(=O)(=O)Nc2nc(-c3ccc(Cl)cc3)cs2)c1,old
4.58,Cc1nccc(-c2cncc(S(=O)(=O)Nc3nc(-c4ccc(Cl)cc4)cs3)c2)n1,old
4.29,O=S(=O)(Nc1nc(-c2ccccc2)cs1)c1cccc(Cl)c1,old
4.86,O=S(=O)(Nc1nc(-c2ccccc2Cl)cs1)c1cccc(Cl)c1,old
4.99,O=S(=O)(Nc1nc(-c2cccc(Cl)c2)cs1)c1cccc(Cl)c1,old
4.21,O=[N+]([O-])c1ccccc1-c1csc(NS(=O)(=O)c2cccc(Cl)c2)n1,old
4.86,O=[N+]([O-])c1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1,old
4.75,O=[N+]([O-])c1ccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)cc1,old
4.46,O=C(OCO)c1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1,old
4.89,O=S(=O)(Nc1nc(-c2cccc(Br)c2)cs1)c1cccc(Cl)c1,old
4.78,O=S(=O)(Nc1nc(-c2ccc(Br)cc2)cs1)c1cccc(Cl)c1,old
4.63,COc1ccccc1-c1csc(NS(=O)(=O)c2cccc(Cl)c2)n1,old
4.72,COc1cccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)c1,old
4.59,COc1ccc(-c2csc(NS(=O)(=O)c3cccc(Cl)c3)n2)cc1,old
4.53,O=S(=O)(Nc1nc(-c2ccc3c(c2)OCCO3)cs1)c1cccc(Cl)c1,old
4.76,Cc1sc(NS(=O)(=O)c2cccc(Cl)c2)nc1-c1ccccc1,old
