,T1,T2,old/new,new pchembl,SMILES,subset,subset
1073,-36.33632,-6.94504,new,7.214670165,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCOCC4)C(NC(OCC5=CC=CC=C5)=O)=C3,4,2
1074,-35.99825,-6.365101,new,7.050609993,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCN(C)CC4)C(NC(OCC5=CC=CC=C5)=O)=C3,4,2
1075,-35.180042,-7.3970356,new,6.844663963,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(OC4=CC=CC=C4)C(NC(OCC5=CC=CC=C5)=O)=C3,4,
1076,-34.497192,-7.101742,new,7.13667714,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(SC4=CC=CC=C4)C(NC(OCC5=CC=CC=C5)=O)=C3,4,
1077,-34.299015,-8.171368,new,6.835647144,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=CC=C3NC(OCC4=CC=CC=C4)=O,4,
1078,-34.09504,-8.424552,new,6.798602876,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(Br)C=C3NC(OCC4=CC=CC=C4)=O,4,
1079,-34.00227,-8.083199,new,6.869666232,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(C4=CC=CC=C4)C=C3NC(OCC5=CC=CC=C5)=O,4,
1080,-31.658817,-7.113116,new,5.408935393,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC(NC(C4=CC=CC=C4)=O)=CC=C3CC(NC5=CC=CC=C5)=O,4,
1081,-31.778118,-6.983829,new,5.769551079,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC(NC(C4=CC=CC=C4)=O)=CC=C3CC(NCC5=CC=CC=C5)=O,4,
1082,-8.81778,-4.4232063,new,4.966576245,CNC1CC1C2=CC=CC=C2,4,
1083,-8.559448,-4.14915,new,4.250263684,CN(C)C1CC1C2=CC=CC=C2,4,
1084,-22.457617,-7.9528484,new,6.522878745,O=C(NCC1=CC=CC=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1085,-22.447481,-6.8424935,new,6.397940009,O=C(NCCC1=CC=CC=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1086,-22.280542,-6.359487,new,6.22184875,O=C(NCCC1=CC=CS1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,2
1087,-21.377583,-6.790629,new,5.619788758,O=C(NCC1CCCCC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1088,-21.477169,-6.6613865,new,5.236572006,O=C(NCCC1CCCCC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1089,-22.166367,-8.122908,new,5.886056648,O=C(NCC1=CC=C(F)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1090,-22.153032,-8.102734,new,6.045757491,O=C(NCC1=CC=C(Br)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1091,-22.111364,-8.533426,new,4.494850022,O=C(NCC1=CC=C(OC)C=C1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,4,
1092,-22.545809,-8.208934,new,4.759450752,O=C(NCC1=CC=C(C2=CC=CC=C2)C=C1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,4,
