,,,,Calculated pChEMBL,SMILES,
1026,4.8614798,35.83598,new,8.950781977,CN1C(C2=NC=C(CC)N2CCCC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1027,4.9089813,35.91332,new,8.896196279,CN1C(C2=NC=C(CC)N2CCCC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1028,5.9465365,37.483757,new,8.468521083,CN1C(C2=NC=C(CC)N2CCCC3=CC=C(OCC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1029,3.9735663,34.350124,new,8.619788758,CN1C(C2=NC=C(CC)N2CCOC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1030,3.9714265,34.283493,new,8.559090918,CN1C(C2=NC=C(CC)N2CCOC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1031,2.5052886,37.915466,new,8.906578315,CN1C(C2=NC=C(C3CCC3)N2CCCC4=CC=C(OC5CCCNCC5)C=C4)=CC6=C1C=CS6,2
1032,2.5636902,37.97003,new,9.13667714,CN1C(C2=NC=C(C3CCC3)N2CCCC4=CC=C(OC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1033,3.5924127,39.051773,new,8.525783736,CN1C(C2=NC=C(C3CCC3)N2CCCC4=CC=C(OCC5CNCC5)C=C4)=CC6=C1C=CS6,2
1034,3.596534,39.030586,new,8.640164518,CN1C(C2=NC=C(C3CCC3)N2CCCC4=CC=C(OCC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1035,1.4081175,36.50251,new,8.886056648,CN1C(C2=NC=C(C3CCC3)N2CCOC4=CC=C(OC5CCCNCC5)C=C4)=CC6=C1C=CS6,2
1036,1.4039191,36.505146,new,8.769551079,CN1C(C2=NC=C(C3CCC3)N2CCOC4=CC=C(OC5CCNCC5)C=C4)=CC6=C1C=CS6,2
1037,5.1771684,35.88881,new,9.055517328,CN1C(C2=NC=C(CCC)N2CCCC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1038,5.2265725,36.001152,new,9.236572006,CN1C(C2=NC=C(CCC)N2CCCC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1039,6.0111456,37.45536,new,8.186419011,CN1C(C2=NC=C(CCC)N2CCCC3=CC=C(OCC4CNCC4)C=C3)=CC5=C1C=CS5,2
1040,6.012383,37.444798,new,7.741841807,CN1C(C2=NC=C(CCC)N2CCCC3=CC=C(OCC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1041,4.315437,34.599236,new,8.375717904,CN1C(C2=NC=C(CCC)N2CCOC3=CC=C(OC4CCCNCC4)C=C3)=CC5=C1C=CS5,2
1042,4.323464,34.56307,new,8.443697499,CN1C(C2=NC=C(CCC)N2CCOC3=CC=C(OC4CCNCC4)C=C3)=CC5=C1C=CS5,2
1043,3.6015365,33.208454,new,4.656591406,CN1C(C2=NC=C(CC)N2CCOC3=CC=CC=C3)=CC4=C1C=CS4,2
1044,3.0951886,32.469517,new,4.037914919,CN1C(C2=NC=C(CC)N2C)=CC3=C1C=CS3,2
1063,-34.66519,-13.333563,new,6.721246399,O=C(NC(CC1=CNC2=C1C=CC=C2)C(NC3=CC=C(C4CC4N)C=C3)=O)OCC5=CC=CC=C5,2
1064,-35.5691,-13.714026,new,7.080921908,O=C(NC(CC1=CSC2=C1C=CC=C2)C(NC3=CC=C(C4CC4N)C=C3)=O)OCC5=CC=CC=C5,2
1069,-36.56215,-6.91173,new,7.124938737,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(NC(OCC4=CC=CC=C4)=O)C(N5CCOCC5)=C3,2
1070,-36.194435,-6.2655215,new,7.050609993,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(NC(OCC4=CC=CC=C4)=O)C(N5CCN(C)CC5)=C3,2
1072,-35.858997,-6.710749,new,6.512861625,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCCCC4)C(NC(OCC5=CC=CC=C5)=O)=C3,2
1073,-36.33632,-6.94504,new,7.214670165,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCOCC4)C(NC(OCC5=CC=CC=C5)=O)=C3,2
1074,-35.99825,-6.365101,new,7.050609993,O=C(NC1=CC=C(C2CC2N)C=C1)C3=CC=C(N4CCN(C)CC4)C(NC(OCC5=CC=CC=C5)=O)=C3,2
1086,-22.280542,-6.359487,new,6.22184875,O=C(NCCC1=CC=CS1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,2
1095,-18.826244,-4.8931527,new,6.301029996,O=C(N1CCN(C2=C(F)C=CC=C2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,2
1096,-18.840958,-4.8782682,new,5.744727495,O=C(N1CCN(C2=C(C#N)C=CC=C2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,2
1097,-18.562452,-5.469917,new,5.823908741,O=C(N1CCN(C2=CC=CC=N2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,2
1098,-18.581337,-5.4991207,new,5.744727495,O=C(N1CCN(C2=NC=CC=N2)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,2
1099,-19.047192,-6.1968007,new,6.301029996,O=C(N1CCN(S(C2=CC=C(C)C=C2)(=O)=O)CC1)C3=CC=C([C@H]4[C@H](N)C4)C=C3,2
1100,-18.940008,-5.9145494,new,6.045757491,O=C(N1CCN(S(C)(=O)=O)CC1)C2=CC=C([C@H]3[C@H](N)C3)C=C2,2
1106,-3.9912522,-7.643766,new,6.075049111,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(NC3=NC=CC=C3)=O,2
1107,-4.3611784,-5.5489516,new,6.700274846,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(N3CCOCC3)=O,2
1108,-4.329788,-5.604847,new,6.623058243,O=S(C1=CC=C([C@@H]2[C@@H](N)C2)C=C1)(N3CCCC3)=O,2
1118,-17.950422,4.5872946,new,8.142667504,C1(/C=C/C2C(NCC3CCNCC3)C2)=CC=CC=C1,2
1119,-20.045029,4.5962095,new,8.37675071,C/C([C@H]1[C@H](NCC2CCNCC2)C1)=C\C3=CC=CC=C3,2
1123,-20.369585,4.76609,new,8.055517328,C/C([C@H]1[C@H](NCC2=CN=CN2)C1)=C\C3=CC=CC=C3,2
1125,-21.58556,5.1186757,new,7.698970004,C/C([C@H]1[C@H](NC2CC(NCC2)=O)C1)=C\C3=CC=CC=C3,2
1133,1.809354,9.078473,new,4.813608784,O=C1C2=C(N(CCNC(NC3=C(Cl)C=CC=C3)=S)N=N2)N=C(SCCC)N1,2
1134,1.7995585,9.082333,new,4.723308471,O=C1C2=C(N(CCNC(NCC3=CC=CC=C3)=S)N=N2)N=C(SCCC)N1,2
1135,1.8183335,9.089611,new,4.770830297,O=C1C2=C(N(CCNC(NC3=CC=C(OC)C=C3)=S)N=N2)N=C(SCCC)N1,2
1136,1.7989786,9.083932,new,5.010995384,O=C1C2=C(N(CCNC(NC3=CC=CC4=CC=CC=C34)=S)N=N2)N=C(SCCC)N1,2
1137,37.2962,10.164119,new,6.390405591,ClC1=CC=CC=C1CN2N=NC(CSC3=NC(NC4=CC(C(F)(F)F)=CC=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1138,37.303257,9.89717,new,6.202040356,ClC1=CC=CC=C1CN2N=NC(CSC3=NC(NC4=CC=C(Cl)C=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1139,37.2924,9.924085,new,5.199970641,ClC1=CC=CC=C1CN2N=NC(CSC3=NC(NC4=CC(Cl)=CC=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1140,37.260654,9.960895,new,5.491201035,ClC1=CC=CC=C1CN2N=NC(CSC3=NC(NC4=CC=C(F)C=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1141,38.23325,9.780555,new,5.427128398,CC(C=C1)=CC=C1CN2N=NC(CSC3=NC(NC4=C(Cl)C=CC=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1142,38.254498,9.873647,new,4.393532644,CC(C=C1)=CC=C1CN2N=NC(CSC3=NC(NC4=CC=C(C)C=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1143,37.374092,9.8099985,new,5.84375381,ClC1=CC=CC=C1CN2N=NC(CSC3=NC(NC4=CC=C(OC)C=C4)=C(C#N)C(C5=CC=CC=C5)=N3)=C2,2
1144,40.149174,11.443234,new,5.725842151,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=CC=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1145,40.357655,11.451468,new,5.843148099,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(C)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1146,40.50938,11.369353,new,6.274905479,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(Cl)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1147,39.74187,11.720665,new,5.417709317,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(Br)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1148,41.442307,10.934364,new,5.898940645,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC(OC)=C(OC)C(OC)=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1149,40.39813,12.044407,new,6.415668776,CC(C=C1)=CC=C1NC2=C(C#N)C(C3=CC=C(C(C)C)C=C3)=NC(SCC4=CN(CC(NC(NC5=NC=CC=C5)=O)=O)N=N4)=N2,2
1150,40.73791,12.882939,new,5.417709317,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(C)C=CC=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3,2
1151,41.262054,12.832581,new,5.297483303,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(O)C=CC=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3,2
1152,40.395092,12.622017,new,5.250263684,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(F)C=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3,2
1153,41.225437,12.145749,new,6.21395879,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(OC)C=C4)=C(C#N)C(C5=CC=C(C(C)C)C=C5)=N3,2
1154,41.210968,11.557967,new,6.542118103,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC=C(OC)C=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3,2
1155,41.80424,11.976827,new,5.814457845,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=C(OC)C=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3,2
1156,40.630974,10.949943,new,6.634512015,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(Cl)=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3,2
1157,40.25837,10.755526,new,6.73754891,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(C(F)(F)F)=CC=C4)=C(C#N)C(C5=CC=C(C)C=C5)=N3,2
1158,41.467564,10.368204,new,6.412289035,O=C(NC(NC1=NC=CC=C1)=O)CN(N=N2)C=C2CSC3=NC(NC4=CC(C(F)(F)F)=CC=C4)=C(C#N)C(C5=CC(OC)=C(OC)C(OC)=C5)=N3,2
